Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2021-06-23 03:00:34,1INCHUPUSDT,BUY,0.058998,225.35,13.29519930,0.22535,1INCHUP
2021-06-23 03:00:18,ETHUSDT,SELL,2012.49,0.00664,13.36293360,0.00003484,BNB
2021-06-22 03:11:39,1INCHUPUSDT,BUY,0.066467,304.37,20.23056079,0.00005321,BNB
2021-06-22 03:11:21,XMRUSDT,SELL,217.55,0.093,20.23215000,0.00005337,BNB
2021-06-22 03:10:12,1INCHUPUSDT,BUY,0.066472,452.51,30.07924472,0.45251,1INCHUP
2021-06-22 03:09:49,ETHUSDT,SELL,1961.51,0.01535,30.10917850,0.03010918,USDT
2021-06-22 00:43:12,1INCHUPUSDT,BUY,0.060787,11022.82,670.04415934,11.02282,1INCHUP
2021-06-22 00:42:58,1INCHUSDT,SELL,2.6531,151.74,402.58139400,0.40258139,USDT
2021-06-22 00:42:58,1INCHUSDT,SELL,2.6522,70.64,187.35140800,0.18735141,USDT
2021-06-22 00:42:58,1INCHUSDT,SELL,2.6531,30.44,80.76036400,0.08076036,USDT
2021-06-22 00:42:35,1INCHUSDT,BUY,2.6443,186.07,492.02490100,0.18607,1INCH
2021-06-22 00:39:58,BNBUSDT,SELL,267.51,1.8412,492.53941200,0.49253941,USDT
2021-06-20 00:37:43,1INCHUPUSDT,BUY,0.07973,2335.14,186.18071220,2.33514,1INCHUP
2021-06-20 00:37:43,1INCHUPUSDT,BUY,0.07969,5723.95,456.14157550,5.72395,1INCHUP
2021-06-20 00:36:15,1INCHUSDT,SELL,2.9795,80.99,241.30970500,0.24130971,USDT
2021-06-20 00:36:15,1INCHUSDT,SELL,2.9795,134.76,401.51742000,0.40151742,USDT
2021-06-20 00:34:29,1INCHUPUSDT,BUY,0.07941,8091.45,642.54204450,8.09145,1INCHUP
2021-06-20 00:34:15,1INCHUSDT,SELL,2.9818,46.29,138.02752200,0.13802752,USDT
2021-06-20 00:34:09,1INCHUSDT,SELL,2.9818,41.17,122.76070600,0.12276071,USDT
2021-06-20 00:34:09,1INCHUSDT,SELL,2.9818,46.29,138.02752200,0.13802752,USDT
2021-06-20 00:34:03,1INCHUSDT,SELL,2.9818,82,244.50760000,0.2445076,USDT
2021-06-19 17:27:06,1INCHUPUSDT,BUY,0.086571,775.52,67.13754192,0.77552,1INCHUP
2021-06-19 17:26:48,BNBUSDT,SELL,339.59,0.1979,67.20486100,0.06720486,USDT
2021-06-17 23:46:48,1INCHUPUSDT,BUY,0.106336,2959.8,314.73329280,2.9598,1INCHUP
2021-06-17 23:46:48,1INCHUPUSDT,BUY,0.106335,15007,1595.76934500,15.007,1INCHUP
2021-06-17 23:46:48,1INCHUPUSDT,BUY,0.106334,141.06,14.99947404,0.14106,1INCHUP
2021-06-17 14:24:55,1INCHDOWNUSDT,BUY,0.424,1202.83,509.99992000,1.20283,1INCHDOWN
2021-06-17 14:24:52,1INCHDOWNUSDT,BUY,0.424,1037.73,439.99752000,1.03773,1INCHDOWN
2021-06-13 04:58:34,XMRETH,BUY,0.10373,0.093,0.00964689,0.0000498,BNB
2021-06-13 03:59:34,1INCHUPUSDT,BUY,0.065024,4737.75,308.06745600,4.73775,1INCHUP
2021-06-13 03:59:34,1INCHUPUSDT,BUY,0.065024,2987.5,194.25920000,2.9875,1INCHUP
2021-06-13 03:59:08,BTCUSDT,SELL,34918.73,0.0144,502.82971200,0.50282971,USDT
2021-06-11 03:50:47,1INCHUPUSDT,BUY,0.0807,1903.7,153.62859000,1.9037,1INCHUP
2021-06-11 03:49:04,XMRUSDT,SELL,256.12,0.52291,133.92770920,0.13392771,USDT
2021-06-11 03:48:25,1INCHUSDT,SELL,2.9116,6.82,19.85711200,0.01985711,USDT
2021-06-10 05:32:47,1INCHUPUSDT,BUY,0.08789,1327.48,116.67221720,1.32748,1INCHUP
2021-06-10 05:28:57,1INCHUPUSDT,BUY,0.08789,1986.05,174.55393450,1.98605,1INCHUP
2021-06-10 05:28:34,BNBUSDT,SELL,361.64,0.8061,291.51800400,0.291518,USDT
2021-06-10 02:32:12,1INCHBUSD,BUY,3.1591,5.9,18.63869000,0,BNB
2021-06-10 02:27:15,ETHBUSD,SELL,2574.03,0.00725,18.66171750,0.00003782,BNB
2021-06-10 02:04:17,1INCHUPUSDT,BUY,0.091103,0.01,0.00091103,0.00000001,BNB
2021-06-10 02:04:17,1INCHUPUSDT,BUY,0.091103,4941.64,450.19822892,0.00091951,BNB
2021-06-10 02:03:53,BNBUSDT,SELL,367.84,1.2239,450.19937600,0.00091764,BNB
2021-06-08 02:22:42,BNBETH,BUY,0.13909,0.062,0.00862358,0.0000465,BNB
2021-06-06 02:00:20,BNBETH,BUY,0.14834,0.059,0.00875206,0.00004425,BNB
2021-06-04 18:51:36,LPTBNB,SELL,0.07053,2.9,0.20453700,0.0001534,BNB
2021-06-04 18:51:36,LPTBNB,SELL,0.07052,1.3,0.09167600,0.00006876,BNB
2021-06-04 18:51:36,LPTBNB,SELL,0.07085,1.6,0.11336000,0.00008502,BNB
2021-06-04 03:49:39,1INCHBTC,BUY,0.0000871,0.1,0.00000871,0.0000006,BNB
2021-06-04 03:49:09,1INCHBTC,BUY,0.0000871,131.1,0.01141881,0.00079406,BNB
2021-06-04 03:40:40,XMRETH,BUY,0.10834,0.089,0.00964226,0.00004844,BNB
2021-06-03 08:44:46,1INCHBUSD,BUY,3.5135,119.22,418.87947000,0,BNB
2021-06-03 08:37:05,1INCHBUSD,BUY,3.5135,63.47,223.00184500,0,BNB
2021-06-03 08:36:41,1INCHBUSD,BUY,3.5135,62.3,218.89105000,0,BNB
2021-06-03 08:36:41,1INCHBUSD,BUY,3.5135,14.34,50.38359000,0,BNB
2021-06-03 08:36:41,1INCHBUSD,BUY,3.5135,14.34,50.38359000,0,BNB
2021-06-03 08:36:41,1INCHBUSD,BUY,3.5135,14.35,50.41872500,0,BNB
2021-06-03 08:36:41,1INCHBUSD,BUY,3.5135,14.35,50.41872500,0,BNB
2021-06-03 08:35:45,XRPBUSD,SELL,1.0396,1002.86,1042.57325600,0,BNB
2021-06-03 08:35:35,XRPBUSD,SELL,1.0396,19.05,19.80438000,0,BNB
2021-06-02 13:17:04,MASKBNB,SELL,0.01611,100.08,1.61228880,0.00120921,BNB
2021-06-02 13:17:04,MASKBNB,SELL,0.01611,21.59,0.34781490,0.00026085,BNB
2021-06-02 13:17:04,MASKBNB,SELL,0.01612,4.43,0.07141160,0.00005355,BNB
2021-06-02 03:10:42,XMRETH,BUY,0.10111,0.092,0.00930212,0.000051,BNB
2021-05-31 11:55:11,XMRETH,BUY,0.10227,0.088,0.00899976,0.000088,XMR
2021-05-30 03:08:48,LPTBNB,BUY,0.07374,5.8,0.42769200,0.00032233,BNB
2021-05-30 00:58:13,MASKBNB,BUY,0.02299,6.1,0.14023900,0.00010472,BNB
2021-05-30 00:58:13,MASKBNB,BUY,0.02299,15,0.34485000,0.00025751,BNB
2021-05-30 00:57:18,MASKBNB,BUY,0.02299,15,0.34485000,0.00025751,BNB
2021-05-30 00:57:16,MASKBNB,BUY,0.02299,15,0.34485000,0.00025751,BNB
2021-05-30 00:57:08,MASKBNB,BUY,0.02299,15,0.34485000,0.000258,BNB
2021-05-30 00:57:08,MASKBNB,BUY,0.02299,5.44,0.12506560,0.00009356,BNB
2021-05-30 00:57:08,MASKBNB,BUY,0.02299,9.56,0.21978440,0.00016443,BNB
2021-05-30 00:57:08,MASKBNB,BUY,0.02299,15,0.34485000,0.000258,BNB
2021-05-30 00:56:46,MASKBNB,BUY,0.02299,6,0.13794000,0.0001032,BNB
2021-05-30 00:56:46,MASKBNB,BUY,0.02299,7.4,0.17012600,0.00012727,BNB
2021-05-30 00:56:46,MASKBNB,BUY,0.02299,11.81,0.27151190,0.00020313,BNB
2021-05-30 00:34:58,MASKBNB,BUY,0.02299,4.79,0.11012210,0.00008247,BNB
2021-05-29 03:47:39,XMRETH,BUY,0.11473,0.086,0.00986678,0.00005439,BNB
2021-05-27 02:36:10,XMRETH,BUY,0.09235,0.057,0.00526395,0.00003067,BNB
2021-05-26 11:50:13,XMRETH,BUY,0.09175,0.111,0.01018425,0.00005748,BNB
2021-05-26 09:26:08,1INCHBUSD,BUY,3.3329,67.07,223.53760300,0.06707,1INCH
2021-05-25 07:26:22,IOSTBUSD,SELL,0.0338,2382.6,80.53188000,0.08053188,BUSD
2021-05-24 13:12:10,XMRETH,BUY,0.10123,0.105,0.01062915,0.000105,XMR
2021-05-22 13:45:11,XMRETH,BUY,0.1016,0.136,0.01381760,0.000136,XMR
2021-05-20 18:15:16,XMRETH,BUY,0.09478,0.32,0.03032960,0.00032,XMR
2021-05-20 18:04:07,IOSTETH,BUY,0.00001274,2385,0.03038490,2.385,IOST
